Created as New Dataset,will work too.
nm,log(1/R)
800.0,0.2633
796.0,0.2640
792.0,0.2668
788.0,0.2681
784.0,0.2683
780.0,0.2717
776.0,0.2715
772.0,0.2731
768.0,0.2750
764.0,0.2763
760.0,0.2781
756.0,0.2794
752.0,0.2809
748.0,0.2816
744.0,0.2827
740.0,0.2838
736.0,0.2855
732.0,0.2865
728.0,0.2885
724.0,0.2892
720.0,0.2903
716.0,0.2913
712.0,0.2919
708.0,0.2930
704.0,0.2939
700.0,0.2949
696.0,0.2957
692.0,0.2965
688.0,0.2977
684.0,0.2993
680.0,0.2994
676.0,0.3006
672.0,0.3021
668.0,0.3029
664.0,0.3043
660.0,0.3058
656.0,0.3074
652.0,0.3095
648.0,0.3116
644.0,0.3139
640.0,0.3160
636.0,0.3187
632.0,0.3216
628.0,0.3244
624.0,0.3277
620.0,0.3313
616.0,0.3350
612.0,0.3388
608.0,0.3436
604.0,0.3481
600.0,0.3531
596.0,0.3585
592.0,0.3647
588.0,0.3716
584.0,0.3798
580.0,0.3885
576.0,0.3981
572.0,0.4073
568.0,0.4147
564.0,0.4199
560.0,0.4253
556.0,0.4308
552.0,0.4379
548.0,0.4458
544.0,0.4554
540.0,0.4655
536.0,0.4757
532.0,0.4863
528.0,0.4969
524.0,0.5081
520.0,0.5196
516.0,0.5312
512.0,0.5429
508.0,0.5547
504.0,0.5650
500.0,0.5743
496.0,0.5828
492.0,0.5912
488.0,0.5997
484.0,0.6092
480.0,0.6184
476.0,0.6268
472.0,0.6360
468.0,0.6445
464.0,0.6522
460.0,0.6596
456.0,0.6667
452.0,0.6732
448.0,0.6797
444.0,0.6864
440.0,0.6935
436.0,0.7007
432.0,0.7083
428.0,0.7172
424.0,0.7273
420.0,0.7385
416.0,0.7481
412.0,0.7579
408.0,0.7666
404.0,0.7747
400.0,0.7823
396.0,0.7891
392.0,0.7945
388.0,0.7998
384.0,0.8029
380.0,0.8055
376.0,0.8110
372.0,0.8121
368.0,0.8150
364.0,0.8190
360.0,0.8244
356.0,0.8304
352.0,0.8387
348.0,0.8466
344.0,0.8568
340.0,0.8692
336.0,0.8816
332.0,0.8943
328.0,0.9085
324.0,0.9230
320.0,0.9360
316.0,0.9531
312.0,0.9679
308.0,0.9850
304.0,1.0035
300.0,1.0251
296.0,1.0517
292.0,1.0838
288.0,1.1184
284.0,1.1502
280.0,1.1839
276.0,1.2133
272.0,1.2353
268.0,1.2543
264.0,1.2630
260.0,1.2612
256.0,1.2420
252.0,1.2053
248.0,1.1573
244.0,1.1164
240.0,1.0992
236.0,1.1021
232.0,1.1161
228.0,1.1460
224.0,1.1854
220.0,1.2301
216.0,1.2670
212.0,1.2842
208.0,1.2680
204.0,1.2215
200.0,1.1427
